labels,X,Y,Z
rpa,0.075,-0.01,-0.035
nasion,-0.002,0.098,-0.015
lpa,-0.079,-0.01,-0.035
Rm,0.075,-0.046,-0.061
RE1,0.078,0.035,-0.027
RE2,0.08,0.01,-0.032
RE3,0.068,-0.059,-0.048
RE4,0.051,-0.078,-0.058
RD1,0.059,0.07,-0.004
RD2,0.073,0.043,-0.007
RD3,0.082,0.018,-0.006
RD4,0.087,-0.013,-0.009
RD5,0.084,-0.035,-0.012
RD6,0.075,-0.059,-0.025
RD7,0.057,-0.081,-0.032
RC1,0.068,0.055,0.019
RC2,0.081,0.028,0.021
RC3,0.086,-0.002,0.019
RC4,0.085,-0.025,0.016
RC5,0.08,-0.049,0.008
RC6,0.069,-0.068,-0.002
RC7,0.055,-0.084,-0.008
RB1,0.068,0.041,0.043
RB2,0.076,0.016,0.043
RB3,0.08,-0.009,0.041
RB4,0.078,-0.038,0.038
RB5,0.071,-0.061,0.032
RB6,0.059,-0.078,0.023
RA1,0.064,0.028,0.06
RA2,0.068,0.0,0.061
RA3,0.068,-0.028,0.061
RA4,0.067,-0.051,0.055
RA5,0.058,-0.073,0.045
RR1,0.05,0.077,0.021
RR2,0.052,0.063,0.047
RR3,0.05,0.048,0.064
RR4,0.05,0.028,0.074
RR5,0.049,0.002,0.08
RR6,0.049,-0.025,0.082
RR7,0.049,-0.048,0.078
RR8,0.047,-0.067,0.069
RR9,0.046,-0.081,0.052
RR10,0.044,-0.09,0.029
RR11,0.045,-0.094,0.008
RR12,0.04,-0.098,-0.019
RR13,0.038,-0.097,-0.04
RR14,0.04,-0.09,-0.07
R1,0.026,0.09,0.015
R2,0.028,0.082,0.043
R3,0.027,0.066,0.066
R4,0.029,0.043,0.081
R5,0.027,0.018,0.09
R6,0.026,-0.006,0.093
R7,0.025,-0.037,0.093
R8,0.026,-0.064,0.084
R9,0.024,-0.084,0.067
R10,0.024,-0.093,0.047
R11,0.023,-0.1,0.022
R12,0.023,-0.107,-0.002
R13,0.023,-0.107,-0.03
R14,0.023,-0.101,-0.057
Z1,-0.002,0.09,0.03
Z2,-0.002,0.081,0.056
Z3,-0.002,0.062,0.078
Z4,-0.002,0.034,0.092
Z5,-0.002,0.006,0.098
Z6,-0.002,-0.024,0.099
Z7,-0.002,-0.051,0.094
Z8,-0.002,-0.075,0.08
Z9,-0.002,-0.093,0.058
Z10,-0.002,-0.101,0.035
Z11,-0.002,-0.109,0.01
Z12,-0.002,-0.114,-0.015
Z13,-0.002,-0.111,-0.04
L1,-0.029,0.09,0.015
L2,-0.031,0.082,0.043
L3,-0.03,0.066,0.066
L4,-0.032,0.043,0.081
L5,-0.03,0.018,0.09
L6,-0.029,-0.006,0.093
L7,-0.029,-0.037,0.093
L8,-0.029,-0.064,0.084
L9,-0.028,-0.084,0.067
L10,-0.027,-0.093,0.047
L11,-0.026,-0.1,0.022
L12,-0.026,-0.107,-0.002
L13,-0.026,-0.107,-0.03
L14,-0.026,-0.101,-0.057
LL1,-0.053,0.077,0.021
LL2,-0.055,0.063,0.047
LL3,-0.054,0.048,0.064
LL4,-0.053,0.028,0.074
LL5,-0.052,0.002,0.08
LL6,-0.052,-0.025,0.082
LL7,-0.052,-0.048,0.078
LL8,-0.05,-0.067,0.069
LL9,-0.049,-0.081,0.052
LL10,-0.047,-0.09,0.029
LL11,-0.048,-0.094,0.008
LL12,-0.043,-0.098,-0.019
LL13,-0.041,-0.097,-0.04
LL14,-0.04,-0.09,-0.07
LA1,-0.067,0.028,0.06
LA2,-0.071,0.0,0.061
LA3,-0.071,-0.028,0.061
LA4,-0.07,-0.051,0.055
LA5,-0.061,-0.073,0.045
LB1,-0.071,0.041,0.043
LB2,-0.08,0.016,0.043
LB3,-0.083,-0.009,0.041
LB4,-0.081,-0.038,0.038
LB5,-0.074,-0.061,0.032
LB6,-0.062,-0.078,0.023
LC1,-0.071,0.055,0.019
LC2,-0.084,0.028,0.021
LC3,-0.089,-0.002,0.019
LC4,-0.088,-0.025,0.016
LC5,-0.083,-0.049,0.008
LC6,-0.072,-0.068,-0.002
LC7,-0.058,-0.084,-0.008
LD1,-0.062,0.07,-0.004
LD2,-0.076,0.043,-0.007
LD3,-0.085,0.018,-0.006
LD4,-0.09,-0.013,-0.009
LD5,-0.087,-0.035,-0.012
LD6,-0.078,-0.059,-0.025
LD7,-0.06,-0.081,-0.032
LE1,-0.081,0.035,-0.027
LE2,-0.083,0.01,-0.032
LE3,-0.071,-0.059,-0.048
LE4,-0.054,-0.078,-0.058
Lm,-0.074,-0.046,-0.06
